Complaint Year Number,Month Number,Precinct,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Total: Population of one race: White alone,Total: Population of one race: Black or African American alone,Total: Population of one race: American Indian and Alaska Native alone,Total: Population of one race: Asian alone,Total: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Population of one race: Some Other Race alone,Total: Not Hispanic or Latino: Population of one race: White alone,Total: Not Hispanic or Latino: Population of one race: Black or African American alone,Total: Not Hispanic or Latino: Population of one race: American Indian and Alaska Native alone,Total: Not Hispanic or Latino: Population of one race: Asian alone,Total: Not Hispanic or Latino: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Not Hispanic or Latino: Population of one race: Some Other Race alone,Total: Hispanic or Latino
2022,3,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2020,2,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2023,5,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2023,4,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2023,4,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2022,3,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,2,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,9,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2022,3,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,7,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,11,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2021,3,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,2,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,4,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,6,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2023,4,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2019,1,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,58916,14506,715,18049,58,10165,56425,13052,105,17940,33,762,17519
2022,11,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2019,5,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2023,2,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,3,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2019,6,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,11,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,3,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2019,6,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2019,8,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,5,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,4,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2021,12,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,4,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2019,12,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
2022,9,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,107999,7259,687,34533,49,9021,105654,6642,100,34347,27,1163,15677
