Not Hispanic or Latino: White alone,Not Hispanic or Latino: Black or African American alone,Not Hispanic or Latino: American Indian and Alaska Native alone,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: Some Other Race alone,Hispanic or Latino
55608,2410,40,14537,46,654,7024
11970,2964,41,27432,44,358,6453
48912,1661,28,5590,31,494,5008
15512,5456,57,17608,9,428,17241
38321,5520,102,11206,59,597,17159
34811,4747,110,9895,51,487,12874
64496,4637,97,15139,151,898,10164
12203,3428,43,7205,28,204,3999
59818,2256,41,16879,45,586,6576
35536,4199,52,13231,29,542,11327
166155,5020,88,22639,51,1317,17077
80306,4201,95,12992,32,913,11207
32,49,3,2,0,2,32
13021,17320,115,7647,14,576,33989
59657,10742,94,9831,18,1006,21611
5844,17987,121,2178,16,407,22752
17337,9197,121,8565,20,518,12121
11627,21144,88,2812,19,513,10416
10953,14125,94,2219,20,535,30402
8151,46466,186,2236,52,634,20488
11132,7572,74,2891,24,555,47780
27090,5589,78,2860,24,924,69464
2556,27765,166,909,26,744,67216
941,13025,86,383,17,404,38895
1538,36599,174,518,27,681,52646
4848,50332,641,21300,74,3238,103510
3240,43227,232,2596,38,1190,97804
32282,31226,250,9147,39,1371,53720
1991,34598,276,1888,33,1227,90730
9349,99024,439,3440,68,2501,44186
5653,23765,173,1148,31,732,56181
26298,23578,239,11154,29,1555,53974
34115,11273,134,5329,41,1105,52328
8272,24467,289,10025,35,1624,100021
56425,13052,105,17940,33,762,17519
105654,6642,100,34347,27,1163,15677
72496,2353,111,86067,33,937,31489
39729,48030,142,8614,15,1247,10247
121295,4794,153,42293,21,6101,25170
5837,127289,345,3036,56,1900,13313
69293,2356,103,36619,19,917,23233
3455,72127,126,1865,9,909,7594
61736,46445,221,21317,29,2082,24726
28532,52807,125,2640,21,2133,10478
31915,4209,143,40415,29,948,52310
3347,66418,263,1331,37,845,21709
6428,92617,736,14779,58,3679,73762
27184,5572,56,2998,18,352,9134
27086,48696,161,4760,31,1188,13380
46560,5731,48,6069,30,553,9769
34605,38582,185,5460,40,1539,20834
11987,38094,198,2528,22,558,11954
27883,18163,240,7402,94,1250,61627
38723,6053,59,9376,7,504,7193
23975,18974,140,7289,27,640,9832
75685,7867,122,7869,38,2163,33797
48597,2825,82,5762,24,527,11679
25976,11780,122,1843,19,642,8671
14213,33092,292,1710,50,1230,19922
23382,10249,1545,38847,126,8097,63683
2953,40779,1143,31915,117,6590,31078
85977,3912,159,19333,55,1458,64507
18192,102711,988,36954,118,5951,24911
25670,17971,2581,27838,140,13484,30577
44302,18682,388,60413,75,2737,29486
39285,3778,102,48826,66,1395,40652
55882,5407,157,154403,32,1386,48845
9329,7688,272,65964,24,1397,93982
41967,2641,61,59980,10,708,14460
52603,3443,109,37151,15,1499,19600
1654,97441,1126,7019,150,4324,15209
94829,16518,364,33886,165,2841,51513
17643,8690,282,34456,45,1883,113447
41611,26021,248,13816,35,1036,35890
56936,16020,187,19517,39,943,31517
99681,3831,116,18642,48,714,18737
79753,963,73,6778,13,448,10816
